user_id,item_id,rating
Cristina M,B00QJDU3KY,5.0
Ricky,B00QJDU3KY,5.0
Tedd Gardiner,B00QJDU3KY,4.0
Dougal,B00QJDU3KY,5.0
Miljan David Tanic,B00QJDU3KY,5.0
Janet Matthews Jan,B00QJDU3KY,4.0
John Kat's the brains,B00QJDU3KY,5.0
samira,B00QJDU3KY,5.0
Louis simard,B00QJDU3KY,4.0
JanetC,B00QJDU3KY,5.0
Shepherd,B00QJDU3KY,4.0
Brenda,B00QJDU3KY,4.0
Fil Gambatesa,B00QJDU3KY,5.0
Roy Bennett,B00QJDU3KY,5.0
satisfied customer,B00QJDU3KY,5.0
Matthew Coenen,B002Y27P3M,4.0
Ron Cronovich,B002Y27P3M,5.0
Jeffrey Stanley,B002Y27P3M,3.0
Gregory P. Baker,B00DU15MU4,4.0
William Hardin,B00DU15MU4,5.0
Mandy,B00DU15MU4,5.0
Dallas,B00DU15MU4,4.0
D. Miyao,B01LW1MS9C,5.0
dm,B01LW1MS9C,5.0
Corey Clarke,B01LW1MS9C,4.0
A.C,B01LW1MS9C,5.0
Vincent Pompei,B01LW1MS9C,3.0
Bob,B01LW1MS9C,5.0
JB 85,B01LW1MS9C,5.0
C. Morrow,B01LW1MS9C,5.0
Ryan,B01LW1MS9C,5.0
Jbird,B01FWSVGQQ,4.0
Devin Stephens,B01FWSVGQQ,5.0
CHRISTOPHER JONES,B01FWSVGQQ,5.0
B. Tarbuck,B00DOPNLJ0,3.0
Amazon Reviewer,B00DOPNLJ0,4.0
Samuel Ruiz,B00DOPNLJ0,1.0
Tina L. Harmon,B00DOPNLJ0,3.0
"Things I Love Like,",B00DOPNLJ0,5.0
Randall M.,B00NO8LX7E,2.0
Dean S,B00NO8LX7E,3.0
Erika S.,B00NO8LX7E,5.0
Ashley,B00NO8LX7E,5.0
Linda Watson,B00NO8LX7E,5.0
olivarulez,B00NO8LX7E,4.0
Theresa,B00NO8LX7E,5.0
JJCEO,B00LWHUAF0,5.0
Liberty Standard,B00LWHUAF0,5.0
Frank Epstein,B00LWHUAF0,5.0
Michael Gallagher,B00LWHUAF0,5.0
Ekgeis,B00NO8LX7E,5.0
JEREMY L THOMPSON,B00NO8LX7E,1.0
Daultim,B00NO8LX7E,4.0
Jerry,B00NO8LX7E,5.0
Celeste Z.,B00NO8LX7E,3.0
Liberty Standard,B00KDRQEYQ,5.0
Rustic,B00KDRQEYQ,5.0
Michael Gallagher,B00KDRQEYQ,4.0
BShaw,B00OQVZDJM,5.0
Desert Rat,B00OQVZDJM,5.0
J. Chambers,B00OQVZDJM,5.0
BShaw,B00QJDVBFU,5.0
Desert Rat,B00QJDVBFU,5.0
J. Chambers,B00QJDVBFU,5.0
Irene,B00VKLBU3Y,5.0
FreeSpirit,B00VKLBU3Y,3.0
Mocha's mom,B00VKLBU3Y,5.0
Lou1492,B00VKLBU3Y,5.0
Clarissa Marshall,B010BWYP20,4.0
Peter Rodick,B010BWYP20,1.0
rdbud,B010BWYP20,3.0
Irene,B00VKM5NFY,5.0
FreeSpirit,B00VKM5NFY,3.0
Mocha's mom,B00VKM5NFY,5.0
Lou1492,B00VKM5NFY,5.0
RPL,B01KIOU4EO,4.0
Ni,B01KIOU4EO,4.0
Quentin Moore,B01KIOU4EO,5.0
Ni,B01KIOU4EO,3.0
kas9103,B01KIOU4EO,5.0
Sandbagger,B01KIOU4EO,5.0
Sandy,B0117U8JSG,5.0
donna,B0117U8JSG,3.0
Amazon Customer,B0117U8JSG,5.0
GMA,B0117U8JSG,5.0
Sara B,B0117U8JSG,3.0
Giacomo,B0117U8JSG,3.0
gamecrazy,B0117U8JSG,3.0
G Fontaine,B0117U8JSG,5.0
Dixie Bee,B01A08ECQY,4.0
Alex Johnson,B01A08ECQY,5.0
Beaches,B01A08ECQY,5.0
Amazon Customer,B01A08ECQY,5.0
James H Mann,B01A08ECQY,1.0
Shannon S.,B01A08ECQY,4.0
Daniel Altenburg,B01A08ECQY,1.0
J. Chambers,B01J2G4VBG,5.0
K.E. Fuhrmann,B01J2G4VBG,5.0
sam,B01J2G4VBG,3.0
BShaw,B00QJDS7I4,5.0
Desert Rat,B00QJDS7I4,5.0
J. Chambers,B00QJDS7I4,5.0
BShaw,B00U879XZ8,5.0
Desert Rat,B00U879XZ8,5.0
J. Chambers,B00U879XZ8,5.0
Kenneth Jung,B010EK1GOE,5.0
Phil (not) in Magnolia,B010EK1GOE,5.0
Pedro P. Cunha,B010EK1GOE,2.0
Liberty Standard,B00LWHUB9A,5.0
Christopher Le,B00LWHUB9A,3.0
Michael Gallagher,B00LWHUB9A,5.0
Phil (not) in Magnolia,B00ZS0G0PG,5.0
J. Chambers,B00ZS0G0PG,5.0
S. Goldstein,B00ZS0G0PG,3.0
Lyn Craven,B00ZS0G0PG,5.0
MissOliviaP,B01A08E70K,5.0
Rustic,B01A08E70K,5.0
Sara Krzykowski,B01A08E70K,5.0
Alex,B01A08E70K,5.0
Dina,B01A08E70K,5.0
Linda S Fox,B01A08E70K,5.0
J. Chambers,B00PD81ETU,5.0
K.E. Fuhrmann,B00PD81ETU,5.0
sam,B00PD81ETU,3.0
Snowmass,B06XDD27LJ,5.0
Robert Beeman,B06XDD27LJ,5.0
Philip J. Bohlken,B06XDD27LJ,5.0
Amazon Customer,B06XDD27LJ,4.0
Marianne Rattan,B06XDD27LJ,5.0
mark d.,B06XDD27LJ,5.0
Mandy,B00CX5P8FC,5.0
Dallas,B00CX5P8FC,4.0
William Hardin,B00CX5P8FC,5.0
Gregory P. Baker,B00CX5P8FC,4.0
Spiral42 Trivia Fanatic,B00CX5P8FC,5.0
Alice,B00CX5P8FC,5.0
Max Nancy,B00CX5P8FC,2.0
txtech1997,B00CX5P8FC,1.0
IMA,B00CX5P8FC,1.0
A. Dent Aragorn,B00CX5P8FC,3.0
R. Colley RC,B00CX5P8FC,5.0
Caryl Faulkender,B00CX5P8FC,5.0
Maria,B00CX5P8FC,4.0
Lynne Matlack Kindle Junkie,B00CX5P8FC,5.0
CV,B00CX5P8FC,4.0
Thomas B,B00CX5P8FC,5.0
David R. Lowe,B00CX5P8FC,1.0
Geronimo,B00CX5P8FC,1.0
Don Clayton,B00CX5P8FC,5.0
corydave,B00CX5P8FC,5.0
GEP,B00CX5P8FC,5.0
M B,B00CX5P8FC,5.0
Chris Lunsford,B00CX5P8FC,5.0
Grace L. Thompson Industrial Engineer,B00CX5P8FC,5.0
Juan2three4,B00CX5P8FC,5.0
DaveF,B00CX5P8FC,5.0
Donald J. Obrien computer gadgets,B00CX5P8FC,4.0
Pat,B00CX5P8FC,5.0
TKE,B00CX5P8FC,2.0
Amazon Enthusiast The Lucky One,B00CX5P8FC,5.0
Grandmaof4,B01J2G4VBG,4.0
C G,B01J2G4VBG,5.0
Leslie Kennedy,B01J2G4VBG,5.0
Len Burroughs,B01J2G4VBG,2.0
Scott Hanel,B01J2G4VBG,1.0
The Old Dog,B01J2G4VBG,5.0
Dr. Danny,B01J2G4VBG,5.0
Joe Ventresco,B01J2G4VBG,2.0
Steven Moren,B01J2G4VBG,5.0
Marilyn Holcomb,B01J2G4VBG,1.0
Maureen Clement,B01J2G4VBG,4.0
Amazon Customer,B01J2G4VBG,5.0
Angela Thoburn,B01J2G4VBG,3.0
G. Bruce White,B01J2G4VBG,2.0
Mom goes to school,B01J2G4VBG,5.0
carolyn s.,B01J2G4VBG,5.0
Wanda J.,B01J2G4VBG,4.0
Phil (not) in Magnolia,B07194GPJV,5.0
Amanda0205,B07194GPJV,2.0
Dennis Pendergrass,B07194GPJV,5.0
Rosemary Williams,B07194GPJV,4.0
Julia,B07194GPJV,4.0
Biblio Ninja,B07194GPJV,3.0
Kindle Lover,B07194GPJV,5.0
Emmie Golemi,B07194GPJV,5.0
Nathan R.,B07194GPJV,3.0
Peggy,B07194GPJV,5.0
Sunspotbaby,B07194GPJV,5.0
Jessica,B07194GPJV,5.0
Stemwind,B07194GPJV,5.0
Amazon Customer,B07194GPJV,5.0
FLgurrl,B07194GPJV,1.0
Maggie,B07194GPJV,1.0
DC,B07194GPJV,1.0
